STABR,FSCSKEY,FSCS_SEQ,LIBID,LIBNAME,ADDRESS,CITY,CNTY,ZIP,ZIP4,PHONE,C_OUT_TY,C_MSA,L_NUM_BM,WEB_ADDR,PUB_FIPS,CNTYFIPS,YR_SUB
AK,AK0008,2,AK0008-002,CANTWELL SCHOOL/COMMUNITY LIBRARY,MILE 133.5 DENALI HIGHWAY,CANTWELL,DENALI,99729,68,9077682372,CE,NO,0,M,2,68,2001
AK,AK0011,2,AK0011-002,CHINIAK PUBLIC LIBRARY,42650 CHINIAK HIGHWAY,CHINIAK,KODIAK ISLAND,99615,5610,9074863022,CE,NO,0,M,2,150,2001
AK,AK0014,2,AK0014-002,COLD BAY PUBLIC LIBRARY,CITY BUILDING,COLD BAY,ALEUTIANS EAST,99571,87,9075322878,CE,NO,0,M,2,13,2001
AK,AK0015,2,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,BEAN CREEK ROAD,COOPER LANDING,KENAI PENINSULA,99572,M,9075951241,CE,NO,0,M,2,122,2001
AK,AK0016,2,AK0016-002,CORDOVA PUBLIC LIBRARY,622 FIRST STREET,CORDOVA,M,99574,1210,9074246667,CE,NO,0,M,2,M,2001
AK,AK0017,3,AK0017-003,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,M,99921,26,9078263281,CE,NO,0,M,2,M,2001
AK,AK0018,2,AK0018-002,IPNATCHIAQ LIBRARY,53 MAIN STREET,DEERING,NORTHWEST ARCTIC,99736,49,9073632136,CE,NO,0,M,2,188,2001
AK,AK0019,2,AK0019-002,DELTA COMMUNITY LIBRARY,2288 DEBORAH STREET,DELTA JUNCTION,M,99737,229,9078954102,CE,NO,0,M,2,M,2001
AK,AK0020,2,AK0020-002,DILLINGHAM PUBLIC LIBRARY,"361 D STREET, WEST",DILLINGHAM,M,99576,870,9078425610,CE,NO,0,M,2,M,2001
AK,AK0021,2,AK0021-002,EAGLE PUBLIC LIBRARY,2ND & AMUNDSEN,EAGLE,SE FAIRBANK,99738,45,9075472234,CE,NO,0,M,2,240,2001
AK,AK0022,2,AK0022-002,ELIM COMMUNITY LIBRARY,101 HILLSIDE STREET,ELIM,NOME,99739,50,9078903501,CE,NO,0,M,2,180,2001
AK,AK0023,2,AK0023-002,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARY,1215 COWLES STREET,FAIRBANKS,FAIRBANKS NORTH,99701,4394,9074591020,CE,NO,0,WWW.FAIRNET.ORG/LIBRARY/FNSBLIBR.HTML,2,90,2001
AK,AK0023,3,AK0023-003,NORTH POLE BRANCH LIBRARY,601 SNOWMAN LANE,NORTH POLE,FAIRBANKS NORTH,99705,7716,9074886101,BR,NO,0,WWW.FAIRNET.ORG/LIBRARY/FNSBLIBR.HTML,2,90,2001
AK,AK0025,2,AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,ANTOSKI DRIVE,GALENA,YUKON-KOYUKUK,99741,149,9076562105,CE,NO,0,M,2,290,2001
AK,AK0027,2,AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,VALDEZ-CORDOVA,99588,173,9078225427,CE,NO,0,M,2,261,2001
AK,AK0027,3,AK0027-003,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,VALDEZ-CORDOVA,99588,173,9078225427,BS,NO,1,M,2,261,2001
AK,AK0028,2,AK0028-002,GUSTAVUS PUBLIC LIBRARY,#14 GUSTAVUS MAIN ROAD,GUSTAVUS,SKAGWAY-ANGOON,99826,279,9076972350,CE,NO,0,M,2,232,2001
AK,AK0029,2,AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,103 THIRD AVENUE SOUTH,HAINES,HAINES,99827,1089,9077663830,CE,NO,0,WWW.SEAKNET.ALASKA.EDU/~HNSLIB,2,100,2001
AK,AK0030,2,AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,SUNTRANA ROAD,HEALY,DENALI,99743,400,9076832048,CE,NO,0,M,2,68,2001
AK,AK0031,2,AK0031-002,HOLLIS PUBLIC LIBRARY,M,HOLLIS,PR WALES-OUTER KE,99950,70,9075307112,CE,NO,0,M,2,201,2001
AK,AK0032,2,AK0032-002,HOMER PUBLIC LIBRARY,141 WEST PIONEER AVENUE,HOMER,KENAI PENINSULA,99603,7523,9072353180,CE,NO,0,WWW.XYZ.NET/~HPL,2,122,2001
AK,AK0033,2,AK0033-002,HOPE/SUNRISE COMMUNITY LIBRARY,A STREET & END STREET,HOPE,KENAI PENINSULA,99605,127,9077823121,CE,NO,0,M,2,122,2001
AK,AK0035,2,AK0035-002,DOUGLAS PUBLIC LIBRARY,1016 THIRD STREET,DOUGLAS,JUNEAU,99824,5416,9073642378,BR,NO,0,WWW.JUNEAU.LIB.AK.US/LIBRARY/JPL.HTM,2,110,2001
AK,AK0035,3,AK0035-003,MENDENHALL VALLEY PUBLIC LIBRARY,9105 MENDENHALL MALL ROAD,JUNEAU,JUNEAU,99801,7115,9077890125,BR,NO,0,WWW.JUNEAU.LIB.AK.US/LIBRARY/JPL.HTM,2,110,2001
AK,AK0035,4,AK0035-004,JUNEAU PUBLIC LIBRARIES,292 MARINE WAY,JUNEAU,JUNEAU,99801,1361,9075865324,CE,NO,0,WWW.JUNEAU.LIB.AK.US/LIBRARY/JPL.HTM,2,110,2001
AK,AK0037,2,AK0037-002,KASILOF PUBLIC LIBRARY,MILE 110 STERLING HIGHWAY,KASILOF,KENAI PENINSULA,99610,176,9072624844,CE,NO,0,M,2,122,2001
AK,AK0038,2,AK0038-002,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,KENAI PENINSULA,99611,7793,9072834378,CE,NO,0,M,2,122,2001
AK,AK0039,2,AK0039-002,KETCHIKAN PUBLIC LIBRARY,629 DOCK STREET,KETCHIKAN,KETCHIKAN GATEWAY,99901,6589,9072253331,CE,NO,0,WWW.FIRSTCITYLIB.ORG/KPL/,2,130,2001
AK,AK0040,2,AK0040-002,A. HOLMES JOHNSON MEM LIB,319 LOWER MILL BAY ROAD,KODIAK,KODIAK ISLAND,99615,7341,9074868686,CE,NO,0,M,2,150,2001
AK,AK0041,2,AK0041-002,CHUKCHI LIBRARY,604 THIRD STREET,KOTZEBUE,NORTHWEST ARCTIC,99752,297,9074422410,CE,NO,0,WWW.UAF.ALASKA.EDU/CCLIB,2,188,2001
AK,AK0041,3,AK0041-003,SELAWIK COMMUNITY/SCHOOL LIBRARY,SELAWIK HIGH SCHOOL,SELAWIK,NORTHWEST ARCTIC,99770,29,9074842142,BR,NO,0,M,2,188,2001
AK,AK0044,2,AK0044-002,MCGRATH COMMUNITY LIBRARY,CHINANA AVENUE,MCGRATH,YUKON-KOYUKUK,99627,121,9075243843,CE,NO,0,M,2,290,2001
AK,AK0046,2,AK0046-002,CENTENNIAL LIBRARY,4TH & MILTON STREET,METLAKATLA,PR WALES-OUTER KE,99926,7,9078866332,CE,NO,0,M,2,201,2001
AK,AK0047,3,AK0047-003,SOUTH NAKNEK BRANCH LIBRARY,#1 SCHOOL ROAD,SOUTH NAKNEK,BRISTOL BAY,99670,M,9072466513,BR,NO,0,M,2,60,2001
AK,AK0047,4,AK0047-004,MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,BRISTOL BAY,99633,147,9072464465,CE,NO,0,M,2,60,2001
AK,AK0048,2,AK0048-002,NENANA PUBLIC LIBRARY,2ND & MARKET,NENANA,YUKON-KOYUKUK,99760,40,9078325812,CE,NO,0,M,2,290,2001
AK,AK0051,2,AK0051-002,NINILCHIK COMMUNITY LIBRARY,15850 STERLING HIGHWAY,NINILCHIK,KENAI PENINSULA,99639,165,9075673333,CE,NO,0,M,2,122,2001
AK,AK0052,2,AK0052-002,KEGOAYAH KOZGA LIBRARY,200 FRONT STREET,NOME,NOME,99762,1168,9074436628,CE,NO,0,M,2,180,2001
AK,AK0053,2,AK0053-002,NORTHWAY COMMUNITY LIBRARY,MILE 5 NORTHWAY ROAD,NORTHWAY,SE FAIRBANK,99764,496,9077782251,CE,NO,0,M,2,240,2001
AK,AK0055,2,AK0055-002,PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,MATANUSKA-SUSITNA,99645,6697,9077454690,CE,NO,0,M,2,170,2001
AK,AK0056,2,AK0056-002,PELICAN PUBLIC LIBRARY,M,PELICAN,SKAGWAY-ANGOON,99832,712,9077352500,CE,NO,0,M,2,232,2001
AK,AK0057,2,AK0057-002,PETERSBURG PUBLIC LIBRARY,12 NORDIC AVENUE,PETERSBURG,WRANGELL-PETERSBU,99833,549,9077723349,CE,NO,0,M,2,280,2001
AK,AK0058,2,AK0058-002,JESSIE WAKEFIELD MEMORIAL LIB,207 SPRUCE DRIVE,PORT LIONS,KODIAK ISLAND,99550,49,9074542288,CE,NO,0,M,2,150,2001
AK,AK0060,2,AK0060-002,RUBY COMMUNITY LIBRARY,10 BOBBY KENNEDY SR. WAY,RUBY,YUKON-KOYUKUK,99768,10,9074684432,CE,NO,0,M,2,290,2001
AK,AK0061,2,AK0061-002,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,930 TOLSTOI BOULEVARD,ST. PAUL,ALEUTIANS WEST,99660,905,9075462221,CE,NO,0,M,2,16,2001
AK,AK0064,2,AK0064-002,SELDOVIA PUBLIC LIBRARY,260 SELDOVIA STREET,SELDOVIA,KENAI PENINSULA,99663,189,9072347662,CE,NO,0,M,2,122,2001
AK,AK0065,2,AK0065-002,SEWARD COMMUNITY LIBRARY,238 5TH AVENUE,SEWARD,KENAI PENINSULA,99664,357,9072243646,CE,NO,0,M,2,122,2001
AK,AK0066,2,AK0066-002,NELLIE WEYIOUANNA ILISAAVIK,M,SHISHMAREF,NOME,99772,51,9076493011,CE,NO,0,M,2,180,2001
AK,AK0067,2,AK0067-002,KETTLESON MEMORIAL LIBRARY,320 HARBOR DRIVE,SITKA,SITKA,99835,7570,9077478708,CE,NO,0,M,2,220,2001
AK,AK0068,2,AK0068-002,SKAGWAY PUBLIC LIBRARY,769 STATE STREET,SKAGWAY,SKAGWAY-ANGOON,99840,394,9079832665,CE,NO,0,M,2,232,2001
AK,AK0069,2,AK0069-002,SOLDOTNA PUBLIC LIBRARY,235 BINKLEY STREET,SOLDOTNA,KENAI PENINSULA,99669,7523,9072624227,CE,NO,0,M,2,122,2001
AK,AK0070,2,AK0070-002,SUTTON PUBLIC LIBRARY,11317 NORTH JONESVILLE ROAD,SUTTON,MATANUSKA-SUSITNA,99674,266,9077454467,CE,NO,0,M,2,170,2001
AK,AK0071,2,AK0071-002,TAKOTNA COMMUNITY LIBRARY,MILE 412 IDITAROD,TAKOTNA,YUKON-KOYUKUK,99675,85,9072982229,CE,NO,0,M,2,290,2001
AK,AK0072,2,AK0072-002,TALKEETNA PUBLIC LIBRARY,MILE 13.8 TALKEETNA SPUR ROAD,TALKEETNA,MATANUSKA-SUSITNA,99676,768,9077332359,CE,NO,0,M,2,170,2001
AK,AK0073,2,AK0073-002,TANANA COMMUNITY LIBRARY,89 FRONT STREET,TANANA,YUKON-KOYUKUK,99777,89,9073667203,CE,NO,0,M,2,290,2001
AK,AK0074,2,AK0074-002,DERMOTT O'TOOLE MEMORIAL LIBRARY,M,TENAKEE SPRINGS,SKAGWAY-ANGOON,99841,35,9077362248,CE,NO,0,M,2,232,2001
AK,AK0075,2,AK0075-002,TOK COMMUNITY LIBRARY,MILE 1314 ALASKA HIGHWAY,TOK,SE FAIRBANK,99780,227,9078835623,CE,NO,0,M,2,240,2001
AK,AK0076,2,AK0076-002,TICASUK LIBRARY,28 SOFTBALL FIELD,UNALAKLEET,NOME,99684,28,9076243053,CE,NO,0,M,2,180,2001
AK,AK0077,2,AK0077-002,VALDEZ CONSORTIUM LIBRARY,200 FAIRBANKS STREET,VALDEZ,VALDEZ-CORDOVA,99686,609,9078354632,CE,NO,0,M,2,261,2001
AK,AK0078,2,AK0078-002,WASILLA PUBLIC LIBRARY,391 NORTH MAIN STREET,WASILLA,MATANUSKA-SUSITNA,99654,7085,9073765913,CE,NO,0,M,2,170,2001
AK,AK0080,2,AK0080-002,WILLOW PUBLIC LIBRARY,MILE 69.5 PARKS HIGHWAY,WILLOW,MATANUSKA-SUSITNA,99688,129,9074956424,CE,NO,0,M,2,170,2001
AK,AK0081,2,AK0081-002,IRENE INGLE PUBLIC LIBRARY,124 SECOND AVENUE,WRANGELL,WRANGELL-PETERSBU,99929,679,9078743535,CE,NO,0,WWW.WRANGELL.COM/COMMUNIT/LIBRARY.HTM,2,280,2001
AK,AK0082,2,AK0082-002,AKIAK SCHOOL/COMMUNITY LIBRARY,M,AKIAK,BETHEL,99552,227,9077657325,CE,NO,0,M,2,50,2001
AK,AK0085,2,AK0085-002,KENNY LAKE PUBLIC LIBRARY,MILE 5 EDGERTON HIGHWAY,KENNY LAKE,VALDEZ-CORDOVA,99573,9704,9078223015,CE,NO,0,M,2,261,2001
AK,AK0085,3,AK0085-003,KENNY LAKE PUBLIC LIBRARY,MILE 5 EDGERTON HIGHWAY,KENNY LAKE,VALDEZ-CORDOVA,99573,9704,9078223015,BS,NO,1,M,2,261,2001
AK,AK0091,2,AK0091-002,TULUKSAK SCHOOL/COMMUNITY LIBRARY,#1 TULUKSAK,TULUKSAK,BETHEL,99679,115,9076956989,CE,NO,0,M,2,50,2001
AK,AK0094,3,AK0094-003,ALAK COMMUNITY/SCHOOL LIBRARY,567 MAIN STREET,WAINWRIGHT,NORTH SLOPE,99782,10,9077632541,BR,NO,0,M,2,185,2001
AK,AK0094,4,AK0094-004,TIKIGAK SCHOOL/COMMUNITY LIBRARY,1837 TIKIGAK AVENUE,POINT HOPE,NORTH SLOPE,99766,148,9073682662,BR,NO,0,M,2,185,2001
AK,AK0094,5,AK0094-005,NUNAMIUT SCHOOL/COMMUNITY LIBRARY,114 ILLINOIS AVENUE,ANAKTUVUK PASS,NORTH SLOPE,99721,1029,9076613226,BR,NO,0,M,2,185,2001
AK,AK0094,6,AK0094-006,MEADE RIVER SCHOOL/COMMUNITY LIBRARY,4001 KIPPI STREET,ATQASUK,NORTH SLOPE,99791,M,9076336315,BR,NO,0,M,2,185,2001
AK,AK0094,7,AK0094-007,HAROLD KAVEOLOOK SCHOOL/COMMUNITY LIBRARY,2001 BARTER AVENUE,KAKTOVIK,NORTH SLOPE,99747,10,9076406626,BR,NO,0,M,2,185,2001
AK,AK0094,8,AK0094-008,NUIQSUT TRAPPER SCHOOL/COMMUNITY LIBRARY,3310  3RD AVENUE,NUIQSUT,NORTH SLOPE,99789,167,9074806712,BR,NO,0,M,2,185,2001
AK,AK0094,9,AK0094-009,KILI SCHOOL/COMMUNITY LIBRARY,1029 UGRUK AVENYE,POINT LAY,NORTH SLOPE,99759,M,9078332311,BR,NO,0,M,2,185,2001
AK,AK0094,10,AK0094-010,TUZZY CONSORTIUM LIBRARY,5421 NORTH STAR,BARROW,NORTH SLOPE,99723,7337,9078521720,CE,NO,0,M,2,185,2001
AK,AK0095,2,AK0095-002,AKIACHAK SCHOOL/COMMUNITY LIBRARY,#1 MAIN STREET,AKIACHAK,BETHEL,99551,100,9078254812,CE,NO,0,M,2,50,2001
AK,AK0097,2,AK0097-002,ESTHER GREENWALD LIBRARY,366 GARTEEMO HIGHWAY,HOONAH,SKAGWAY-ANGOON,99829,157,9079453611,CE,NO,0,M,2,232,2001
AK,AK0099,2,AK0099-002,MOOSE PASS PUBLIC LIBRARY,DEPOT ROAD & SEWARD HIGHWAY,MOOSE PASS,KENAI PENINSULA,99631,M,9072883111,CE,NO,0,M,2,122,2001
AK,AK0101,2,AK0101-002,SAND POINT COMMUNITY LIBRARY,SAND POINT SCHOOL,SAND POINT,ALEUTIANS EAST,99661,249,9073832393,CE,NO,0,M,2,13,2001
AK,AK0102,2,AK0102-002,EGEGIK VILLAGE LIBRARY,975 AIRPORT WAY,EGEGIK,LAKE & PENINSULA,99579,M,9072332208,CE,NO,0,M,2,164,2001
AK,AK0103,2,AK0103-002,TRAPPER CREEK LIBRARY ASSOCIATION,MILE 115 PARKS HIGHWAY,TRAPPER CREEK,MATANUSKA-SUSITNA,99683,388,9077331546,CE,NO,0,M,2,170,2001
AK,AK0104,2,AK0104-002,HOLY CROSS SCHOOL/COMMUNITY LIBRARY,#1 HUSKY WAY,HOLY CROSS,YUKON-KOYUKUK,99602,210,9074767130,CE,NO,0,M,2,290,2001
AK,AK0108,2,AK0108-002,OLD HARBOR LIBRARY,THREE SAINTS AVENUE,OLD HARBOR,KODIAK ISLAND,99643,109,9072862307,CE,NO,0,M,2,150,2001
AK,AK0109,2,AK0109-002,RUSSIAN MISSION COMMUNITY/SCHOOL LIBRARY,M,RUSSIAN MISSION,WADE HAMPTON,99657,90,9075845111,CE,NO,0,M,2,270,2001
AK,AK0111,2,AK0111-002,AKUTAN PUBLIC LIBRARY,8 BAYVIEW DRIVE,AKUTAN,ALEUTIANS EAST,99553,26,9076982228,CE,NO,0,M,2,13,2001
AK,AK0112,2,AK0112-002,FALSE PASS PUBLIC LIBRARY,180 UNIMAK DRIVE,FALSE PASS,ALEUTIANS EAST,99583,50,9075482233,CE,NO,0,M,2,13,2001
AK,AK0113,2,AK0113-002,OUZINKIE TRIBAL MEDIA CENTER,110 THIRD STREET,OUZINKIE,KODIAK ISLAND,99644,130,9076802323,CE,NO,0,M,2,150,2001
AK,AK0114,2,AK0114-002,ST. GEORGE ISLAND SCHOOL/COMMUNITY LIBRARY,NO. 1 ELEMENTARY SCHOOL ROAD,ST. GEORGE,M,99591,959,9078592229,CE,NO,0,M,2,M,2001
AK,AK0115,2,AK0115-002,UNALASKA PUBLIC LIBRARY,64 ELEANOR DRIVE,UNALASKA,M,99685,610,9075815060,CE,NO,0,M,2,M,2001
AK,AK0116,1,AK0116-002,ANIAK PUBLIC LIBRARY,270 RIVERFRONT DRIVE,ANIAK,M,99557,270,9076754436,CE,NO,0,M,2,M,2001
AK,AK0117,1,AK0117-002,HYDER PUBLIC LIBRARY,#50 MAIN STREET,HYDER,M,99923,50,2506362367,CE,NO,0,M,2,M,2001
AK,AK0118,1,AK0118-002,KAKE COMMUNITY/SCHOOL LIBRARY,175 LIBRARY PLACE,KAKE,M,99830,450,9077853741,CE,NO,0,M,2,M,2001
AK,AK0119,1,AK0119-002,KOYUKUK COMMUNITY LIBRARY,100 SPRUCE ROAD,KOYUKUK,M,99754,29,9079272245,CE,NO,0,M,2,M,2001
AK,AK0120,1,AK0120-002,SHAGELUK COMMUNITY LIBRARY,100 MAIN STREET,SHAGELUK,M,99665,71,9074738233,CE,NO,0,M,2,M,2001
AK,AK0121,1,AK0121-002,ANVIK COMMUNITY/SCHOOL LIBRARY,M,ANVIK,UNORGANIZED,99558,100,9076636348,CE,NO,0,M,2,M,2001
AK,AK0122,1,AK0122-002,GRAYLING COMMUNITY/SCHOOL LIBRARY,M,GRAYLING,UNORGANIZED,99590,100,9074535135,CE,NO,0,M,2,M,2001
AK,AK0123,1,AK0123-002,KLAWOCK PUBLIC LIBRARY,NORTH PARK STREET,KLAWOCK,UNORGANIZED,99925,100,9077552542,CE,NO,0,M,2,M,2001
AL,AL0001,3,100-000,CARL ELLIOTT REGIONAL LIBRARY,98 EAST 18TH STREET,JASPER,WALKER,35501,5491,2052212568,BM,NC,0,M,1,127,2001
AL,AL0002,2,100-001,ARLEY PUBLIC LIBRARY,%TOWN HALL,ARLEY,WINSTON,35541,146,2053870103,CE,NO,0,M,1,133,2001
AL,AL0003,2,100-002,CORDOVA PUBLIC LIBRARY,130 MAIN STREET,CORDOVA,WALKER,35550,1414,2054839578,CE,NC,0,M,1,127,2001
AL,AL0004,2,100-003,DORA PUBLIC LIBRARY,1485 SHARON BLVD,DORA,WALKER,35062,700,2056483211,CE,NC,0,M,1,127,2001
AL,AL0005,2,100-004,DOUBLE SPRINGS PUBLIC LIBRARY,BLAKE DRIVE,DOUBLE SPRINGS,WINSTON,35553,555,2054892412,CE,NO,0,M,1,133,2001
AL,AL0006,2,100-005,HALEYVILLE PUBLIC LIBRARY,913 20TH STREET,HALEYVILLE,WINSTON,35565,1323,2054867450,CE,NO,0,M,1,133,2001
AL,AL0007,2,100-006,JASPER PUBLIC LIBRARY,98 EAST 18TH STREET,JASPER,WALKER,35501,5491,2052218512,CE,NC,0,M,1,127,2001
AL,AL0009,2,100-008,SUMITON PUBLIC LIBRARY,STATE STREET,SUMITON,WALKER,35148,10,2056487451,CE,NC,0,M,1,127,2001
AL,AL0010,2,101-000,CHEAHA REGIONAL LIBRARY,935 COLEMAN STREET,HEFLIN,CLEBURNE,36264,1313,2564637125,BS,NO,2,M,1,29,2001
AL,AL0011,2,101-001,ANNIE L. AWBREY PUBLIC LIBRARY,736 COLLEGE STREET,ROANOKE,RANDOLPH,36274,1616,3348632632,CE,NO,0,M,1,111,2001
AL,AL0012,2,101-002,ASHLAND CITY PUBLIC LIBRARY,"113 NORTH 2ND AVENUE, W",ASHLAND,CLAY,36251,296,2563543427,CE,NO,0,M,1,27,2001
AL,AL0013,2,999-028,B. B. COMER MEMORIAL LIBRARY,314 NORTH BROADWAY AVENUE,SYLACAUGA,TALLADEGA,35150,2528,2562490961,CE,NO,0,M,1,121,2001
AL,AL0014,2,101-004,CHEROKEE COUNTY PUBLIC LIBRARY,310 MARY STREET,CENTRE,CHEROKEE,35960,2026,2569275838,CE,NO,0,M,1,19,2001
AL,AL0015,2,101-005,EARLE A. RAINWATER MEMORIAL LIBRARY,124 NINTH AVENUE SW,CHILDERSBURG,TALLADEGA,35044,1642,2563787239,CE,NO,0,M,1,121,2001
AL,AL0016,2,101-006,LINCOLN PUBLIC LIBRARY,49 COMPLEX DRIVE,LINCOLN,TALLADEGA,35096,5096,2057637244,CE,NO,0,M,1,121,2001
AL,AL0017,2,101-007,LINEVILLE PUBLIC LIBRARY,60119 HIGHWAY 49,LINEVILLE,CLAY,36266,482,2563965162,CE,NO,0,M,1,27,2001
AL,AL0018,2,101-008,LUCILE L. MORGAN PUBLIC LIBRARY,541 ROSS STREET,HEFLIN,CLEBURNE,36264,428,2564632259,CE,NO,0,M,1,29,2001
AL,AL0019,2,101-009,OXFORD PUBLIC LIBRARY,213 CHOCCOLOCCO STREET,OXFORD,CALHOUN,36203,1617,2568311750,CE,NC,0,M,1,15,2001
AL,AL0020,2,999-070,TALLADEGA PUBLIC LIBRARY,202 SOUTH STREET E,TALLADEGA,TALLADEGA,35160,2471,2563624211,CE,NO,0,M,1,121,2001
AL,AL0022,2,999-033,ABBEVILLE MEMORIAL LIBRARY,301 KIRKLAND STREET,ABBEVILLE,HENRY,36310,2419,3345852818,CE,NO,0,M,1,67,2001
AL,AL0023,2,999-075,ARITON PUBLIC LIBRARY,MAIN STREET,ARITON,DALE,36311,9460,3347622463,CE,NC,0,M,1,45,2001
AL,AL0024,2,999-035,BLANCHE R. SOLOMON MEMORIAL LIBRARY,17 PARK STREET,HEADLAND,HENRY,36345,1747,3346932706,CE,NO,0,M,1,67,2001
AL,AL0025,2,999-061,TUPPER LIGHTFOOT MEMORIAL LIBRARY,164 SOUTH MAIN STREET,BRUNDIDGE,PIKE,36010,1809,3347352145,CE,NO,0,M,1,109,2001
AL,AL0026,2,999-079,OZARK-DALE CO. PUBLIC LIBRARY INC.,320 JAMES STREET,OZARK,DALE,36360,2090,3347745480,CE,NC,0,M,1,45,2001
AL,AL0029,2,517-001,ELTON B. STEPHENS LIBRARY,17 SCHOOL STREET,CLIO,BARBOUR,36017,9298,3343972911,CE,NO,0,M,1,5,2001
AL,AL0030,2,517-003,LOUISVILLE PUBLIC LIBRARY,"CITY HALL, MAIN STREET",LOUISVILLE,BARBOUR,36048,125,3342665210,CE,NO,0,M,1,5,2001
AL,AL0031,2,999-077,MARY BERRY BROWN MEMORIAL LIBRARY,HINTON WATERS AVE & 3RD STREET,MIDLAND CITY,DALE,36350,713,3349833511,CE,NC,0,M,1,45,2001
AL,AL0032,2,999-078,NEWTON PUBLIC LIBRARY,203 OATES STREET,NEWTON,DALE,36352,9588,3342993316,CE,NC,0,M,1,45,2001
AL,AL0033,2,517-004,TOWN AND COUNTY PUBLIC LIBRARY,MIDWAY STREET,CLAYTON,BARBOUR,36016,518,3347753506,CE,NO,0,M,1,5,2001
AL,AL0034,2,999-060,TROY PUBLIC LIBRARY,300 NORTH THREE NOTCH STREET,TROY,PIKE,36081,2022,3345661314,CE,NO,0,M,1,109,2001
AL,AL0035,2,999-058,UNION SPRINGS PUBLIC LIBRARY,103 NORTH PRAIRIE STREET,UNION SPRINGS,BULLOCK,36089,1616,3347382760,CE,NO,0,M,1,11,2001
AL,AL0036,3,103-000,CROSS TRAILS REGIONAL LIBRARY,1604 NORTH MAIN STREET,OPP,COVINGTON,36467,770,3344939526,CE,NO,0,M,1,39,2001
